2025-08-21 04:06:43.788 [warning] Dir "/home/shaiksahil0911/.pixi/envs" is not watchable (directory does not exist)
2025-08-21 04:06:43.788 [info] Python interpreter path: /bin/python
2025-08-21 04:06:46.947 [info] > pyenv which python
2025-08-21 04:06:46.948 [info] cwd: .
2025-08-21 04:06:51.089 [info] Starting Jedi language server for shaiksahil0911.
2025-08-21 05:16:33.999 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 05:24:35.765 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:32:32.862 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 05:34:03.103 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 05:34:08.801 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 05:36:23.688 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:38:28.595 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 05:45:28.629 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 05:45:32.237 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 05:45:35.247 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:45:37.863 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:45:39.005 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:48:43.271 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:48:43.714 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:48:45.782 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:48:47.497 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 05:48:49.317 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 06:06:36.904 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:06:50.780 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/pathpilot/settings.py
2025-08-21 06:06:52.161 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/pathpilot/settings.py
2025-08-21 06:21:20.580 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:21:27.117 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:24:47.443 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:24:52.701 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:25:24.484 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:30:18.914 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:30:42.629 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
